Frec max ch1,Frec max ch2,Frec max ch3,Frec max ch4,label
12.9,16.9,12.9,14.9,99.0
18.4,17.8,20.9,14.9,99.0
18.4,17.8,20.9,20.9,99.0
30.4,22.9,14.4,14.7,99.0
18.4,17.8,17.8,14.7,99.0
26.4,28.0,14.0,18.4,99.0
26.4,28.0,18.4,18.4,99.0
14.2,28.0,18.4,18.4,99.0
17.1,28.0,18.4,18.4,99.0
13.1,28.0,13.1,13.1,99.0
13.1,20.2,18.4,14.2,99.0
17.1,25.3,14.2,13.6,99.0
15.1,20.2,15.1,13.6,99.0
15.8,20.2,23.8,20.2,99.0
14.9,19.8,16.0,13.6,99.0
12.2,19.8,13.6,13.6,99.0
18.0,18.0,18.0,18.0,99.0
18.0,19.8,13.6,13.6,99.0
13.6,16.0,13.6,13.6,99.0
17.8,17.8,13.6,17.8,99.0
13.8,13.8,16.4,16.4,99.0
18.2,18.2,16.4,16.4,99.0
15.6,16.4,15.6,16.4,99.0
15.8,18.2,18.2,14.4,99.0
15.8,18.2,14.7,20.9,99.0
15.8,17.8,14.7,13.1,99.0
18.0,18.2,14.7,15.6,99.0
21.3,17.6,14.7,21.3,99.0
20.2,13.1,20.2,20.4,99.0
16.9,13.6,15.6,20.4,99.0
14.7,14.7,14.7,14.7,99.0
14.7,14.7,14.7,14.7,99.0
14.7,14.7,14.7,14.7,99.0
16.7,14.0,14.7,14.7,99.0
14.4,14.0,14.7,14.7,99.0
14.7,14.7,14.7,14.7,99.0
15.6,13.3,15.3,13.3,99.0
21.1,13.1,13.1,17.6,99.0
16.0,14.9,13.1,13.3,99.0
14.2,13.1,13.1,13.1,99.0
14.2,13.1,13.1,13.1,99.0
14.9,16.0,15.1,16.0,99.0
14.0,19.8,13.3,19.8,99.0
22.7,23.3,21.8,22.2,99.0
22.7,16.4,16.4,19.8,99.0
25.3,26.2,25.3,21.3,99.0
25.3,26.2,28.7,28.7,99.0
25.3,28.7,25.3,28.7,99.0
28.7,26.2,28.7,28.7,99.0
28.7,28.4,28.7,28.7,99.0
28.7,28.4,28.7,28.7,99.0
30.2,15.3,30.9,29.6,99.0
28.9,28.4,28.9,28.9,99.0
30.7,14.4,15.8,14.7,99.0
15.6,15.6,24.4,15.6,99.0
30.4,15.6,24.4,30.4,99.0
16.2,23.8,24.4,15.6,99.0
15.6,15.6,15.6,15.6,99.0
15.3,25.6,16.0,14.0,99.0
15.3,25.6,26.2,26.2,99.0
15.8,13.8,13.8,13.8,99.0
17.1,13.1,13.8,17.1,99.0
17.6,25.3,17.6,13.3,99.0
15.1,13.8,21.1,13.3,99.0
15.8,22.0,17.1,18.2,99.0
14.2,18.4,17.1,17.1,99.0
14.2,22.2,17.1,12.7,99.0
14.2,22.2,14.2,17.6,99.0
14.4,22.2,16.9,12.7,99.0
14.2,16.0,14.9,16.0,99.0
14.2,22.4,13.1,13.1,99.0
17.1,22.4,19.3,21.1,99.0
14.9,22.4,14.0,14.9,99.0
16.7,15.1,14.0,16.7,99.0
17.1,20.0,16.7,16.7,99.0
13.8,20.0,14.0,17.6,99.0
14.7,20.0,14.0,17.6,99.0
18.9,21.3,14.2,16.2,99.0
13.3,13.3,13.3,13.3,99.0
16.2,21.3,12.7,16.2,99.0
16.0,21.3,16.0,13.3,99.0
15.6,16.0,12.7,16.7,99.0
16.7,15.8,14.4,16.7,99.0
14.0,19.1,13.8,13.8,99.0
14.2,18.7,18.7,13.8,99.0
14.2,18.9,14.2,13.8,99.0
14.2,18.9,14.2,13.8,99.0
14.2,18.9,14.2,20.9,99.0
21.3,21.3,21.3,23.8,99.0
21.3,21.3,21.3,14.0,99.0
21.3,20.2,20.2,14.0,99.0
14.0,17.3,17.3,18.4,99.0
14.0,17.3,17.3,16.7,99.0
19.6,15.6,15.3,18.9,99.0
15.3,17.3,15.3,19.6,99.0
13.8,15.3,15.3,19.6,99.0
15.3,15.3,15.3,19.6,99.0
15.3,15.3,15.3,14.0,99.0
15.6,15.3,15.6,14.0,99.0
14.0,21.8,14.0,14.0,99.0
14.0,14.0,14.0,14.0,99.0
