12.5ch1,16.5ch1,25.0ch1,33.0ch1,12.5ch2,16.5ch2,25.0ch2,33.0ch2,12.5ch3,16.5ch3,25.0ch3,33.0ch3,12.5ch4,16.5ch4,25.0ch4,33.0ch4,label
417.70000000000005,397.55,360.75,213.5,277.05,140.60000000000002,276.45,310.2,314.1,285.75,299.55,116.15,340.75,326.45,270.35,93.25,99.0
406.25,398.54999999999995,306.4,310.2,333.70000000000005,119.0,409.7,449.95,375.05,222.1,310.95,204.4,405.4,212.85000000000002,290.0,89.6,99.0
592.35,350.2,423.20000000000005,332.25,345.0,78.75,433.04999999999995,395.85,414.35,144.3,382.04999999999995,200.7,477.1,153.05,359.35,81.05000000000001,99.0
259.25,355.2,334.7,360.09999999999997,242.9,97.2,409.55,407.65,178.45,151.9,304.4,172.2,257.5,154.0,354.6,43.099999999999994,99.0
132.35,306.3,265.29999999999995,558.8,262.05,202.4,398.85,543.75,156.1,181.15,237.1,283.65000000000003,270.75,228.9,243.55,189.15,99.0
248.95,306.65,266.0,446.85,287.35,464.7,380.85,606.2,206.85000000000002,175.5,258.15,298.85,292.1,233.95,230.95000000000002,231.15,99.0
170.75,190.35000000000002,278.75,379.15,172.1,245.05,238.1,479.9,103.80000000000001,157.7,204.85000000000002,225.15,234.15,212.10000000000002,232.4,213.85000000000002,99.0
185.1,247.39999999999998,300.8,373.5,143.2,348.2,344.35,441.3,170.55,186.14999999999998,216.85000000000002,221.2,104.6,226.05,229.75,195.1,99.0
148.0,256.65,296.75,414.1,283.20000000000005,538.4,355.5,447.0,167.15,213.5,154.15,241.25,170.1,269.35,94.30000000000001,220.55,99.0
90.1,318.5,311.95,158.3,360.45,439.65,406.4,455.09999999999997,214.45000000000002,260.35,201.75,184.1,190.79999999999998,302.5,174.8,189.85000000000002,99.0
96.75,356.1,263.1,144.5,224.39999999999998,328.05,325.55,375.85,103.35000000000001,266.65,179.1,114.45,194.10000000000002,309.05,231.7,134.5,99.0
112.9,240.1,208.85,115.05000000000001,204.64999999999998,315.45,225.25,133.60000000000002,123.1,257.7,155.05,92.55000000000001,154.45,227.05,183.4,86.9,99.0
204.64999999999998,246.45,211.10000000000002,167.8,264.65,299.45,262.25,309.55,242.95,147.35,191.65,165.85,228.05,159.7,199.05,159.2,99.0
