max ch1,min ch1,mean ch1,mode ch1,max ch2,min ch2,mean ch2,mode ch2,max ch3,min ch3,mean ch3,mode ch3,max ch4,min ch4,mean ch4,mode ch4,label
1882.3,1542.9,1748.6,1574.4,876.1,496.1,733.8,701.5,1827.3,1595.3,1727.7,1705.4,1907.4,1613.4,1783.0,1758.6,99.0
1882.3,1542.9,1731.8,1574.4,876.1,496.1,707.4,623.4,1827.3,1595.3,1716.1,1705.4,1907.4,1613.4,1770.1,1708.7,99.0
1882.3,1542.9,1718.7,1574.4,876.1,496.1,690.3,623.4,1827.3,1595.3,1705.7,1616.7,1907.4,1613.4,1762.4,1690.1,99.0
1860.1,1542.9,1710.1,1574.4,851.6,496.1,682.0,623.4,1827.3,1595.3,1698.1,1616.7,1907.4,1613.4,1758.5,1690.1,99.0
1890.6,1542.9,1718.4,1574.4,861.3,496.1,690.3,623.4,1827.3,1595.3,1700.8,1750.2,1907.4,1613.4,1765.1,1690.1,99.0
1916.5,1542.9,1730.2,1574.4,887.3,496.1,698.4,623.4,1824.3,1595.3,1701.5,1750.2,1895.4,1613.4,1762.3,1690.1,99.0
1916.5,1585.0,1756.7,1655.5,887.3,506.2,727.4,623.4,1824.3,1598.2,1716.7,1750.2,1900.5,1629.4,1778.5,1810.6,99.0
1916.5,1616.0,1775.0,1716.2,887.3,561.6,753.8,627.7,1824.3,1611.0,1730.9,1750.2,1900.5,1672.9,1792.0,1810.6,99.0
1916.5,1624.4,1788.1,1721.3,887.3,610.6,768.4,703.1,1824.3,1621.4,1741.9,1756.7,1900.5,1672.9,1798.5,1810.6,99.0
1916.5,1650.0,1801.0,1721.3,887.3,628.1,779.0,703.1,1824.3,1666.8,1752.1,1756.7,1900.5,1708.6,1804.8,1810.6,99.0
1916.5,1704.8,1806.3,1840.2,887.3,668.5,784.7,703.1,1824.3,1681.7,1756.5,1756.7,1900.5,1708.6,1807.4,1810.6,99.0
1898.2,1704.8,1800.0,1716.6,878.1,668.5,781.4,703.1,1816.5,1696.8,1756.3,1711.6,1900.5,1725.4,1807.0,1737.8,99.0
1897.8,1690.9,1796.9,1716.6,878.1,668.5,779.1,690.8,1816.5,1687.9,1754.9,1705.3,1890.7,1721.6,1804.3,1737.8,99.0
1897.8,1690.9,1793.0,1845.2,878.1,664.7,775.1,713.3,1814.8,1687.9,1752.1,1728.0,1890.7,1719.1,1801.4,1737.2,99.0
1890.7,1629.4,1779.9,1845.2,878.1,586.9,759.8,713.3,1814.8,1640.6,1743.3,1728.0,1888.2,1659.0,1789.9,1681.3,99.0
1880.0,1629.1,1765.3,1845.2,878.1,586.9,743.4,629.8,1806.7,1638.5,1731.3,1711.7,1877.4,1658.3,1775.2,1681.3,99.0
1869.7,1629.1,1757.2,1845.2,878.1,586.9,735.8,629.8,1803.6,1638.5,1721.2,1711.7,1874.4,1658.3,1763.6,1681.3,99.0
1869.7,1629.1,1754.3,1845.2,856.1,586.9,734.0,629.8,1803.6,1638.5,1716.7,1646.6,1874.4,1658.3,1758.1,1681.3,99.0
1874.4,1629.1,1754.8,1641.2,865.2,586.9,734.8,629.8,1803.9,1638.5,1716.7,1708.9,1885.3,1658.3,1758.7,1681.3,99.0
1884.4,1629.1,1756.4,1641.2,873.6,586.9,738.9,801.7,1815.4,1638.5,1717.3,1708.9,1899.4,1658.3,1761.6,1681.3,99.0
1884.4,1629.1,1762.6,1677.4,873.6,592.0,747.4,700.8,1815.4,1638.5,1721.3,1652.9,1899.4,1650.1,1768.0,1863.5,99.0
1884.4,1615.2,1761.0,1712.6,873.6,536.7,742.1,692.4,1815.4,1606.0,1718.4,1708.9,1899.4,1614.0,1764.6,1863.5,99.0
1884.4,1615.2,1759.4,1672.5,873.6,536.7,738.7,801.7,1815.4,1606.0,1716.2,1708.9,1899.4,1614.0,1765.6,1863.5,99.0
1884.4,1615.2,1757.8,1672.5,873.6,536.7,736.7,744.7,1815.4,1606.0,1714.6,1708.9,1899.4,1614.0,1764.0,1753.9,99.0
1884.4,1615.2,1755.7,1672.5,873.6,536.7,735.2,633.1,1815.4,1606.0,1712.9,1618.3,1899.4,1614.0,1760.8,1753.9,99.0
1889.2,1615.2,1755.7,1672.5,870.0,536.7,735.2,633.1,1813.4,1606.0,1713.1,1618.3,1898.2,1614.0,1759.1,1753.9,99.0
1895.6,1615.2,1760.9,1672.5,870.0,536.7,743.2,680.2,1813.4,1606.0,1717.8,1618.3,1896.4,1614.0,1766.4,1745.5,99.0
1902.5,1646.6,1777.7,1672.5,870.0,613.3,765.4,695.3,1825.9,1624.8,1734.3,1683.0,1932.2,1666.7,1789.0,1745.5,99.0
2337.6,1448.0,1795.4,1718.6,870.0,490.0,747.9,674.4,1904.7,1552.0,1742.2,1701.8,1933.2,1549.2,1789.3,1693.1,99.0
2337.6,1448.0,1793.8,1558.2,1976.2,490.0,781.6,608.2,2377.9,1552.0,1773.6,1701.8,2132.6,1546.8,1792.3,1693.1,99.0
2337.6,1448.0,1798.8,1558.2,1976.2,353.0,774.4,608.2,2377.9,1552.0,1789.0,1701.8,2132.6,1546.8,1803.8,1693.1,99.0
2442.7,1448.0,1824.2,1558.2,1976.2,353.0,802.6,608.2,2377.9,1552.0,1809.3,1612.4,2132.6,1546.8,1796.4,1693.1,99.0
2442.7,1448.0,1810.6,1680.5,1976.2,353.0,776.4,552.2,2377.9,1548.6,1788.1,1607.2,2132.6,1546.8,1785.2,1693.1,99.0
2442.7,1448.0,1807.8,1680.5,1976.2,353.0,767.0,552.2,2377.9,1548.6,1775.6,1607.2,2132.6,1546.8,1777.9,1693.1,99.0
2442.7,1549.5,1803.9,1680.5,1976.2,353.0,794.9,552.2,2377.9,1548.6,1774.4,1612.4,2132.6,1546.8,1790.4,1700.3,99.0
2442.7,1586.7,1816.2,1680.5,1382.4,353.0,772.1,711.2,2302.3,1548.6,1752.3,1612.4,2123.0,1656.4,1801.8,1700.3,99.0
2442.7,1593.0,1797.8,1680.5,1382.4,504.5,762.3,551.7,2302.3,1548.6,1726.7,1617.5,1915.8,1589.9,1780.0,1700.3,99.0
1940.6,1593.0,1756.7,1676.3,897.8,504.5,713.1,551.7,1832.4,1548.6,1692.0,1615.7,1915.8,1589.9,1769.8,1700.3,99.0
1960.9,1593.0,1768.6,1745.4,897.8,526.2,733.7,633.0,1832.4,1574.2,1703.7,1615.7,1915.8,1589.9,1770.2,1721.0,99.0
1960.9,1593.0,1781.2,1870.6,897.8,526.2,744.7,633.0,1832.4,1574.2,1710.6,1615.7,1915.8,1589.9,1770.9,1721.0,99.0
1960.9,1593.0,1785.6,1870.6,897.8,526.2,749.7,633.0,1832.4,1574.2,1718.1,1791.8,1915.8,1589.9,1769.7,1721.0,99.0
1960.9,1593.0,1789.9,1676.3,881.5,526.2,749.8,633.0,1826.9,1574.2,1718.8,1791.8,1893.5,1589.9,1768.1,1721.0,99.0
1960.9,1607.7,1815.3,1718.5,881.5,560.8,775.1,788.0,1826.9,1608.9,1735.9,1791.8,1893.5,1617.4,1787.7,1721.0,99.0
2052.1,1655.7,1842.8,1744.0,1023.2,639.8,803.7,788.0,1963.2,1624.1,1756.2,1791.8,2020.2,1664.3,1813.4,1812.0,99.0
2052.1,1681.1,1844.1,1695.0,1023.2,607.6,799.3,729.0,1963.2,1638.9,1761.0,1791.8,2020.2,1684.7,1818.8,1812.0,99.0
2052.1,1661.3,1827.1,1804.9,1023.2,595.9,784.0,698.0,1963.2,1601.8,1755.1,1791.8,2020.2,1670.8,1814.5,1812.0,99.0
2052.1,1661.3,1819.5,1804.9,1023.2,595.9,777.4,698.0,1963.2,1601.8,1750.3,1680.9,2020.2,1670.8,1811.4,1742.8,99.0
2077.6,1661.3,1817.3,1804.9,1065.0,595.9,778.8,698.0,2004.3,1601.8,1749.2,1680.9,2046.0,1670.8,1809.7,1742.8,99.0
2077.6,1661.3,1814.9,1695.0,1065.0,595.9,779.1,698.0,2004.3,1601.8,1743.5,1748.7,2046.0,1670.8,1806.5,1742.8,99.0
2077.6,1661.3,1810.5,1695.0,1065.0,595.9,777.9,806.2,2004.3,1601.8,1743.8,1748.7,2046.0,1670.8,1802.0,1742.8,99.0
2077.6,1661.3,1818.9,1735.7,1065.0,595.9,794.3,806.2,2004.3,1601.8,1753.2,1748.7,2046.0,1670.8,1808.1,1799.4,99.0
2077.6,1735.7,1828.9,1783.6,1065.0,692.4,810.5,806.2,2004.3,1628.4,1763.8,1748.7,2046.0,1736.2,1815.7,1830.2,99.0
2077.6,1664.8,1820.9,1743.4,1065.0,582.4,796.9,806.2,2004.3,1612.8,1756.0,1765.4,2046.0,1670.7,1807.7,1830.2,99.0
2048.5,1664.8,1805.5,1734.6,1026.0,582.4,775.4,785.9,1992.7,1612.8,1744.4,1765.4,2020.2,1670.7,1794.7,1721.3,99.0
2048.5,1664.8,1797.0,1723.9,1026.0,582.4,768.8,734.5,1992.7,1612.8,1742.0,1665.2,2020.2,1670.7,1787.2,1721.3,99.0
1971.9,1664.8,1793.0,1723.9,984.4,582.4,766.9,734.5,1908.2,1612.8,1735.2,1665.2,1945.0,1670.7,1782.6,1721.3,99.0
2001.1,1664.8,1792.2,1723.9,984.4,582.4,766.6,734.5,1919.0,1612.8,1731.7,1665.2,1958.0,1670.7,1780.3,1721.3,99.0
2001.1,1664.8,1792.4,1723.9,984.4,582.4,768.6,734.5,1919.0,1612.8,1731.1,1761.5,1958.0,1670.7,1780.9,1721.3,99.0
2001.1,1691.4,1807.2,1723.9,984.4,586.3,791.0,789.2,1919.0,1642.8,1745.1,1761.5,1958.0,1683.7,1794.6,1722.3,99.0
2001.1,1701.6,1822.5,1723.9,984.4,688.0,808.8,789.2,1919.0,1647.5,1757.1,1753.6,1958.0,1689.4,1809.3,1762.7,99.0
2001.1,1716.4,1821.8,1775.7,977.9,623.2,795.6,771.7,1919.0,1666.6,1754.0,1726.9,1958.0,1715.4,1809.4,1820.7,99.0
2001.1,1716.4,1819.9,1792.4,977.9,623.2,785.0,745.6,1919.0,1666.6,1752.1,1753.6,1958.0,1715.4,1810.7,1763.5,99.0
1903.5,1716.4,1814.8,1807.4,882.0,623.2,775.6,729.8,1828.6,1666.6,1749.2,1753.6,1898.3,1715.4,1810.3,1763.5,99.0
1903.5,1706.8,1804.4,1756.3,882.0,623.2,759.4,661.1,1828.6,1661.4,1740.3,1674.0,1898.3,1713.5,1802.0,1757.8,99.0
1892.1,1706.8,1798.6,1734.8,882.0,623.2,751.9,661.1,1822.0,1661.4,1734.2,1674.0,1898.3,1713.5,1795.8,1757.8,99.0
1889.2,1706.8,1794.4,1734.8,899.1,623.2,751.5,661.1,1803.2,1661.4,1729.6,1711.2,1877.0,1713.5,1788.1,1823.5,99.0
1889.2,1706.8,1802.8,1734.8,899.1,630.8,770.9,685.8,1808.7,1661.4,1737.9,1692.5,1877.0,1713.5,1794.2,1823.5,99.0
1900.1,1706.8,1809.7,1734.8,899.1,634.9,785.0,685.8,1825.0,1661.4,1744.7,1751.4,1895.1,1713.5,1799.3,1745.5,99.0
1900.1,1706.8,1816.0,1734.8,899.1,634.9,796.2,741.8,1825.0,1661.4,1750.2,1707.2,1895.1,1713.5,1803.7,1787.9,99.0
1900.1,1727.6,1828.8,1789.1,899.1,677.5,814.1,769.3,1825.0,1682.0,1761.3,1758.2,1895.1,1724.7,1814.5,1787.9,99.0
1900.1,1719.4,1829.8,1799.0,899.1,642.3,815.5,721.1,1825.0,1668.6,1763.8,1668.6,1895.1,1723.7,1817.9,1787.9,99.0
1900.1,1638.9,1810.9,1665.3,897.9,505.7,780.4,721.1,1825.0,1606.0,1748.7,1631.2,1895.1,1663.0,1804.7,1667.6,99.0
1900.1,1638.9,1797.5,1665.3,897.9,505.7,756.9,653.4,1825.0,1606.0,1744.1,1631.2,1895.1,1663.0,1799.0,1667.6,99.0
1895.2,1638.9,1788.3,1665.3,897.9,505.7,750.6,653.4,1815.1,1606.0,1739.5,1631.2,1886.3,1663.0,1792.1,1667.6,99.0
1895.2,1638.9,1784.2,1665.3,904.6,505.7,748.6,653.4,1813.3,1606.0,1734.3,1631.2,1886.3,1663.0,1787.1,1667.6,99.0
1888.2,1638.9,1782.1,1665.3,904.6,505.7,748.3,653.4,1813.3,1606.0,1731.6,1631.2,1886.3,1663.0,1782.9,1667.6,99.0
1889.0,1638.9,1785.8,1665.3,904.6,505.7,754.2,653.4,1809.4,1606.0,1732.6,1631.2,1871.3,1663.0,1784.0,1667.6,99.0
1910.2,1672.6,1809.4,1738.3,904.6,558.1,791.8,772.0,1824.7,1666.2,1751.5,1770.1,1903.3,1710.0,1804.8,1757.1,99.0
1910.2,1632.1,1807.7,1773.4,904.6,525.4,787.6,755.1,1824.7,1498.1,1743.3,1770.1,1903.3,1692.3,1802.2,1757.1,99.0
1910.2,1632.1,1806.9,1762.6,904.6,525.4,766.7,703.3,1826.8,1498.1,1745.7,1770.1,1903.3,1692.3,1802.5,1753.2,99.0
1910.2,1632.1,1803.6,1736.2,896.5,525.4,755.8,703.3,1848.0,1498.1,1749.3,1725.4,1903.3,1692.3,1805.1,1753.2,99.0
